date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-02-10,7,4,0.0,3.6,1,1,83,06:37 PM,08:47 AM,07:47 AM,05:02 PM,2,1,6,1,60,73,76,3.2,977,7,9,260,39
2020-02-11,6,4,0.2,3.6,1,1,75,08:09 PM,09:07 AM,07:44 AM,05:05 PM,1,-1,5,-1,55,75,77,1.1,983,6,9,256,39
2020-02-12,6,3,0.0,3.6,1,1,68,09:40 PM,09:24 AM,07:42 AM,05:07 PM,1,-2,4,-2,59,93,79,3.4,993,6,8,260,41
2020-02-13,5,0,0.0,7.0,1,1,60,11:08 PM,09:41 AM,07:40 AM,05:09 PM,1,-0,4,-0,37,66,80,0.3,1005,5,10,222,25
2020-02-14,6,3,0.0,8.7,1,1,53,No moonrise,09:57 AM,07:38 AM,05:11 PM,2,1,4,1,19,39,82,0.1,1015,6,10,190,13
2020-02-15,6,0,0.0,3.7,1,1,45,12:34 AM,10:16 AM,07:36 AM,05:13 PM,4,0,5,0,49,95,88,2.4,1015,6,10,212,31
2020-02-16,10,4,0.0,3.7,1,1,38,01:59 AM,10:38 AM,07:33 AM,05:15 PM,6,4,8,4,81,90,85,9.9,996,10,9,204,45
2020-02-17,7,5,0.0,3.7,1,1,30,03:20 AM,11:07 AM,07:31 AM,05:18 PM,2,1,6,1,64,74,76,6.8,1001,7,10,239,40
2020-02-18,6,5,0.0,5.4,1,1,22,04:32 AM,11:45 AM,07:29 AM,05:20 PM,2,0,5,0,51,76,80,0.2,1007,6,10,250,34
2020-02-19,5,4,0.0,3.7,1,1,15,05:35 AM,12:34 PM,07:27 AM,05:22 PM,3,0,5,0,37,84,85,6.7,1006,5,9,284,25
2020-02-20,6,-2,0.0,3.8,1,1,7,06:23 AM,01:34 PM,07:24 AM,05:24 PM,3,-0,4,-0,52,78,87,2.7,1009,6,8,193,34
2020-02-21,7,4,0.0,7.1,1,1,0,07:01 AM,02:41 PM,07:22 AM,05:26 PM,2,1,6,1,55,78,78,2.2,1009,7,10,261,36
